"",".model",".type","ME","RMSE","MAE","MPE","MAPE"
"1","arima","Test",0.624150114665286,1.18988018184675,0.82565696375558,2.37128374046612,3.38066103552753
"2","ets","Test",-1.29186781531879,2.09028386677272,1.63366103419797,-6.47309503760586,7.67165630777053
"3","nnet","Test",NA,NA,NA,NA,NA
"4","snaive","Test",0.808333333333333,1.70220445305492,1.35,3.0515729378639,5.8325367042411
"5","arima","Test",0.116535001799796,1.57023488052911,1.2632369547943,0.732889174847882,5.03825119068063
"6","ets","Test",-2.02578203257164,2.30475127329555,2.02578203257164,-7.9816822107245,7.9816822107245
"7","nnet","Test",NA,NA,NA,NA,NA
"8","snaive","Test",-0.470833333333333,2.62432531011941,2.09583333333333,-1.26250752658649,8.21755401911156
"9","arima","Test",0.996507220607676,1.69349144766317,1.37215962329014,4.21191447364427,5.57366690839578
"10","ets","Test",0.756826363352241,1.82627370048719,1.36010702824683,2.3374574206813,4.99066437186528
"11","nnet","Test",NA,NA,NA,NA,NA
"12","snaive","Test",0.666666666666666,1.75047612570599,1.43333333333333,3.19159685852808,5.91689454011732
"13","arima","Test",0.690949484976705,2.93274708965435,1.65918466848058,1.61143148364622,5.35600947113147
"14","ets","Test",-1.4581208655646,3.15964109146563,3.05953252731299,-6.36193226854875,11.1097582238777
"15","nnet","Test",NA,NA,NA,NA,NA
"16","snaive","Test",0.138082561728395,2.53252340793578,1.26550154320988,-0.102789960275615,4.25741959692201
"17","arima","Test",-0.327240116661359,2.46330712031571,1.98474223133325,-1.87927885452028,8.13353735151776
"18","ets","Test",1.16877110730735,2.05403828688317,1.78984571378987,4.11227341937931,6.9260458882131
"19","nnet","Test",NA,NA,NA,NA,NA
"20","snaive","Test",-0.833333333333333,2.54099717958652,1.76666666666667,-3.81965325608848,7.40798702927025
"21","arima","Test",0.0150534438430999,0.83093520815313,0.699466287417366,-0.154688302629465,2.74643819552901
"22","ets","Test",0.0169869438686261,0.786267589458915,0.629451816499892,-0.253949506392971,2.40233260033851
"23","nnet","Test",NA,NA,NA,NA,NA
"24","snaive","Test",0.875,1.51877143331927,1.19166666666667,3.39864676922451,4.49781526543834
"25","arima","Test",0.843163416388844,1.67468229782546,1.03521816523483,2.66854037262105,3.33134835099921
"26","ets","Test",0.567630628577576,1.22347165994847,0.794332429161544,1.75519058938367,2.56122869071673
"27","nnet","Test",NA,NA,NA,NA,NA
"28","snaive","Test",0.504166666666667,1.44618020510669,0.839506172839507,1.57207534499946,2.72937919451268
"29","arima","Test",0.816526712804326,1.23116947694247,0.98101101878721,2.84205334918695,3.63854267438776
"30","ets","Test",-0.344049521465631,2.20041694057849,1.79250714118475,-2.55762733576853,7.30535304001641
"31","nnet","Test",NA,NA,NA,NA,NA
"32","snaive","Test",0.825,1.41715677796542,1.15,3.10109124109445,4.56175611773251
